id,name,chart_template_id/id
account_category_asset,Asset,l10n_chart_china_standard_business
account_category_liability,Liability,l10n_chart_china_standard_business
account_category_common,Common,l10n_chart_china_standard_business
account_category_equity,Equity,l10n_chart_china_standard_business
account_category_cost,Cost,l10n_chart_china_standard_business
account_category_profit_and_loss,Profit and Loss,l10n_chart_china_standard_business
